trimestre,data
1T2010,2010-05-14
1T2011,2011-05-11
1T2012,2012-05-04
1T2013,2013-05-16
1T2014,2014-05-08
1T2015,2015-05-15
1T2016,2016-05-13
1T2017,2017-05-12
1T2018,2018-05-11
1T2019,2019-05-08
1T2020,2020-05-15
1T2021,2021-05-10
1T2022,2022-05-12
2T2010,2010-08-17
2T2011,2011-08-10
2T2012,2012-08-15
2T2013,2013-08-14
2T2014,2014-08-15
2T2015,2015-08-14
2T2016,2016-08-12
2T2017,2017-08-11
2T2018,2018-08-10
2T2019,2019-08-09
2T2020,2020-08-14
2T2021,2021-08-12
2T2022,2022-08-16
3T2010,2010-11-17
3T2011,2011-11-04
3T2012,2012-11-09
3T2013,2013-11-13
3T2014,2014-11-06
3T2015,2015-11-13
3T2016,2016-11-11
3T2017,2017-11-10
3T2018,2018-11-18
3T2019,2019-11-08
3T2020,2020-11-06
3T2021,2021-11-09
3T2022,2022-11-09
4T2010,2011-02-18
4T2011,2012-02-15
4T2012,2013-02-22
4T2013,2014-02-14
4T2014,2015-02-12
4T2015,2016-02-26
4T2016,2017-02-17
4T2017,2018-02-23
4T2018,2019-02-15
4T2019,2020-02-14
4T2020,2021-02-15
4T2021,2022-02-15
4T2022,2023-02-14

