trimestre,data
1T2012,2012-05-15
1T2013,2013-05-14
1T2014,2014-05-08
1T2015,2015-05-08
1T2016,2016-05-06
1T2017,2017-05-05
1T2018,2018-05-08
1T2019,2019-05-07
1T2020,2020-05-26
1T2021,2021-05-14
1T2022,2022-05-17
2T2012,2012-08-14
2T2013,2013-08-07
2T2014,2014-08-01
2T2015,2015-07-31
2T2016,2016-08-04
2T2017,2017-08-01
2T2018,2018-08-08
2T2019,2019-08-13
2T2020,2020-08-18
2T2021,2021-08-13
2T2022,2022-08-17
3T2012,2012-11-13
3T2013,2013-11-01
3T2014,2014-10-31
3T2015,2015-11-11
3T2016,2016-10-31
3T2017,2017-11-01
3T2018,2018-11-06
3T2019,2019-10-30
3T2020,2020-11-10
3T2021,2021-11-10
3T2022,2022-11-11
4T2012,2013-03-27
4T2013,2014-02-24
4T2014,2015-02-27
4T2015,2016-03-01
4T2016,2017-02-20
4T2017,2018-02-23
4T2018,2019-02-22
4T2019,2020-02-17
4T2020,2021-03-25
4T2021,2022-03-15
4T2022,2023-03-10

