Date,Open,High,Low,Close,Adj Close,Volume,WClose,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
0,2010-01-04,8.78124713897705,9.076980590820312,8.78124713897705,9.076980590820312,4.854602813720703,886252,,,,,,,,0,0,0
1,2010-01-05,9.050628662109377,9.076980590820312,8.845664024353027,8.94814682006836,4.787742614746094,555316,,-0.0138682587263097,,,,,,0,0,0
2,2010-01-06,8.901297569274902,8.997923851013184,8.839808464050293,8.895441055297852,4.759541988372803,249311,,-0.005907587248395599,,,0.005629044784831396,,,-1,0,0
3,2010-01-07,8.839808464050293,8.883728981018066,8.754895210266113,8.874944686889648,4.748576641082764,503063,,-0.002306524051439859,,,0.005916272126091899,,,-1,0,0
4,2010-01-08,8.872016906738281,8.930578231811523,8.754895210266113,8.886656761169434,4.754842758178711,375675,,0.0013187080861641809,,,0.00649371021641206,,,1,0,0
5,2010-01-11,8.874944686889648,8.962786674499512,8.740254402160645,8.857377052307129,4.739173412322998,459690,,-0.003300891804253192,,,0.00568688334536624,,,-1,0,0
6,2010-01-12,8.813455581665039,8.930578231811523,8.746109962463379,8.901297569274902,4.762675285339356,343913,,0.004946810181934346,-0.019117743562300008,,0.006461259360333545,,,1,0,0
7,2010-01-13,8.901297569274902,8.959858894348145,8.804672241210938,8.959858894348145,4.794009208679199,945677,,0.006557511790155876,0.001308026954165735,,0.006953631541158535,0.014443200843153176,,1,0,0
8,2010-01-14,8.898369789123535,8.915938377380371,8.731470108032227,8.84273624420166,4.73134183883667,563171,,-0.013158207756295283,-0.005942593553734006,,0.007588653888317615,0.010355096786036608,,-1,-1,0
9,2010-01-15,8.813455581665039,8.833951950073242,8.593851089477539,8.643628120422363,4.624806880950928,568977,0.5937111728800748,-0.022774234507445562,-0.026410304009739725,,0.009638315719486106,0.012529241322150364,,-1,-1,0
10,2010-01-18,8.675836563110352,8.760750770568848,8.675836563110352,8.725613594055176,4.66867733001709,145488,0.510876861940214,0.009441189964867232,-0.018287822131036514,,0.010225748686890227,0.0111508925847933,,1,-1,0
11,2010-01-19,8.696332931518555,8.930578231811523,8.649484634399414,8.869089126586914,4.745442390441895,5279265,1.0228518566729243,0.016308856098406675,0.001321925771623483,,0.011456672317920812,0.011706152807946657,,1,1,0
