Date,Open,High,Low,Close,Adj Close,Volume,WClose,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
0,2010-01-04,14.350000381469728,14.529999732971191,14.199999809265137,14.25,7.997609615325928,813700,,,,,,,,0,0,0
1,2010-01-05,14.600000381469728,14.649999618530272,14.119999885559082,14.119999885559082,7.924649715423584,1478400,,-0.009164580106588036,,,,,,0,0,0
2,2010-01-06,14.289999961853027,14.550000190734863,14.149999618530272,14.460000038146973,8.115469932556152,938500,,0.023793989575774076,,,0.023305228120607605,,,1,0,0
3,2010-01-07,14.399999618530272,14.399999618530272,13.869999885559082,14.100000381469728,7.913425445556641,1116500,,-0.025211367840740205,,,0.02498430096284587,,,-1,0,0
4,2010-01-08,14.109999656677246,14.140000343322754,13.869999885559082,13.899999618530272,7.801178932189941,800900,,-0.014285873148155916,,,0.021096922740416073,,,-1,0,0
5,2010-01-11,15.149999618530272,15.25,14.100000381469728,15.25,8.558845520019531,3149300,,0.09269044447456652,,,0.04785754862024452,,,1,0,0
6,2010-01-12,15.06999969482422,15.239999771118164,14.75,15.100000381469728,8.474660873413086,1598900,,-0.009884674372005344,0.05793793858285097,,0.04386251369509808,,,-1,0,0
7,2010-01-13,15.100000381469728,15.40999984741211,14.8100004196167,14.899999618530272,8.36241340637207,1221500,,-0.013333567121528906,0.05376895156791003,,0.040972817377425606,0.002947918988943401,,-1,1,0
8,2010-01-14,15.09000015258789,15.09000015258789,14.800000190734863,14.899999618530272,8.36241340637207,1017900,,0.0,0.029974961992135972,,0.03800029748154907,0.015085657937677457,,0,1,0
9,2010-01-15,14.81999969482422,14.93000030517578,14.31999969482422,14.449999809265137,8.109857559204102,1696600,4.996633866417668,-0.03066676603476478,0.024519563798111352,,0.03754283961377523,0.01675196078098621,,-1,1,0
10,2010-01-18,14.65999984741211,14.6899995803833,14.199999809265137,14.300000190734863,8.025671005249023,458600,4.872628536380459,-0.010435024491249539,0.028370412455017847,,0.035598010981934186,0.015659288433829098,,-1,1,0
11,2010-01-19,14.1899995803833,14.43000030517578,13.989999771118164,14.25,7.997609615325928,612200,4.573495080388673,-0.003502580935307693,-0.06782261295485627,,0.03379121239813449,0.04577081769779117,,-1,-1,0
12,2010-01-20,14.18000030517578,14.1899995803833,13.800000190734863,14.050000190734863,7.885363578796387,1052800,4.603556495133326,-0.014134369411139986,-0.07207230799399096,,0.03247599447067821,0.05465000205024977,,-1,-1,0
13,2010-01-21,14.149999618530272,14.220000267028809,13.800000190734863,13.93000030517578,7.818013668060303,1079000,4.586024188302472,-0.008577813885231269,-0.06731655475769327,,0.03116105928814759,0.057144385306774355,,-1,-1,0
14,2010-01-22,13.850000381469728,14.550000190734863,13.5,13.609999656677246,7.6384196281433105,2024900,4.990403664814055,-0.02323978882423582,-0.09055634358192899,,0.03048464937476042,0.061130514877476345,,-1,-1,0
15,2010-01-26,13.789999961853027,13.789999961853027,13.1899995803833,13.34000015258789,7.486886978149414,1342100,4.2488399699567045,-0.020037639437359693,-0.07992721698452392,,0.02969259868453341,0.061566347176255344,,-1,-1,0
16,2010-01-27,13.260000228881836,13.600000381469728,13.100000381469728,13.270000457763672,7.447598934173584,1357700,4.098014476156748,-0.005261397658869393,-0.0747535901521439,,0.028686585230207028,0.060835640289135094,,-1,-1,0
17,2010-01-28,13.449999809265137,13.609999656677246,13.100000381469728,13.270000457763672,7.447598934173584,1368200,4.096923019120489,0.0,-0.07125100921683615,,0.027796657784703905,0.05962371373198845,,0,-1,0
18,2010-01-29,13.399999618530272,13.420000076293944,13.130000114440918,13.260000228881836,7.441986083984375,2163500,4.429786117419168,-0.0007539297365548622,-0.05787056954225104,,0.02697888676056044,0.05770641181719993,,0,-1,0
19,2010-02-01,13.350000381469728,13.460000038146973,13.130000114440918,13.31999969482422,7.4756598472595215,1041100,4.1676466112193395,0.004514629268568703,-0.04477812638845095,,0.026291436322708465,0.05558744982155267,,1,-1,0
20,2010-02-02,13.520000457763672,13.5600004196167,13.279999732971191,13.369999885559082,7.503722667694092,1382400,4.461205383091865,0.0037468638293577847,-0.017791473734857354,,0.025642198627673023,0.05367127545468319,,1,-1,0
