Empresa,data_formatada,Posi,pos_ind,Neg,neg_ind,Neutral,neu_ind,indice
brf-3T2017,2017-11-10,118,0.3241758241758242,25,0.06868131868131869,221,0.6071428571428571,0.2554945054945055
brf-4T2021,2022-02-25,126,0.27510917030567683,55,0.12008733624454149,277,0.6048034934497817,0.15502183406113537
brf-1T2016,2016-04-29,155,0.30632411067193677,72,0.1422924901185771,279,0.5513833992094862,0.16403162055335968
brf-3T2022,2022-11-10,148,0.39361702127659576,32,0.0851063829787234,196,0.5212765957446809,0.30851063829787234
brf-2T2018,2018-08-10,92,0.22772277227722773,65,0.1608910891089109,247,0.6113861386138614,0.06683168316831684
brf-2T2014,2014-08-01,125,0.27292576419213976,59,0.12882096069868995,274,0.5982532751091703,0.14410480349344978
brf-1T2019,2019-05-10,81,0.15196998123827393,105,0.19699812382739212,347,0.651031894934334,-0.0450281425891182
brf-1T2020,2020-05-13,146,0.2796934865900383,83,0.15900383141762453,293,0.5613026819923371,0.1206896551724138
brf-2T2015,2015-07-31,189,0.43648960739030024,33,0.07621247113163972,211,0.48729792147806006,0.36027713625866054
brf-3T2018,2018-11-08,104,0.2043222003929273,49,0.0962671905697446,356,0.6994106090373281,0.10805500982318271
brf-4T2017,2018-02-23,100,0.18484288354898337,65,0.12014787430683918,376,0.6950092421441775,0.06469500924214418
brf-2T2022,2T2022,134,0.2427536231884058,68,0.12318840579710146,350,0.6340579710144928,0.11956521739130435
brf-1T2022,2022-05-05,87,0.21375921375921375,58,0.14250614250614252,262,0.6437346437346437,0.07125307125307126
brf-1T2021,1T2021,109,0.23851203501094093,58,0.12691466083150985,290,0.6345733041575492,0.11159737417943107
brf-1T2017,2017-05-12,129,0.2866666666666667,59,0.13111111111111112,262,0.5822222222222222,0.15555555555555556
brf-4T2014,2014-02-27,182,0.38477801268498946,48,0.1014799154334038,243,0.5137420718816068,0.2832980972515856
brf-2T2021,2021-08-13,125,0.38109756097560976,37,0.11280487804878049,166,0.5060975609756098,0.2682926829268293
brf-3T2020,2020-11-10,182,0.35067437379576105,55,0.10597302504816955,282,0.5433526011560693,0.24470134874759153
brf-2T2017,2017-08-11,107,0.25476190476190474,43,0.10238095238095238,270,0.6428571428571429,0.1523809523809524
brf-3T2016,2016-10-28,154,0.30434782608695654,75,0.1482213438735178,277,0.5474308300395256,0.15612648221343872
brf-3T2021,2021-11-11,118,0.3430232558139535,22,0.06395348837209303,204,0.5930232558139535,0.27906976744186046
brf-3T2015,2015-10-30,256,0.29157175398633256,82,0.09339407744874716,540,0.6150341685649203,0.19817767653758542
brf-2T2016,2016-07-29,148,0.35071090047393366,69,0.16350710900473933,205,0.48578199052132703,0.1872037914691943
brf-1T2015,2015-04-29,118,0.3241758241758242,51,0.1401098901098901,195,0.5357142857142857,0.18406593406593408
brf-1T2018,2018-05-11,87,0.24369747899159663,41,0.11484593837535013,229,0.6414565826330533,0.12885154061624648
brf-2T2020,2020-08-13,153,0.281767955801105,70,0.1289134438305709,320,0.5893186003683242,0.15285451197053407
brf-4T2022,4T2022,169,0.3470225872689938,49,0.10061601642710473,269,0.5523613963039015,0.2464065708418891
brf-3T2014,2014-10-31,142,0.27626459143968873,48,0.0933852140077821,324,0.6303501945525292,0.1828793774319066
brf-4T2019,4T2019,171,0.3092224231464738,70,0.12658227848101267,312,0.5641952983725136,0.18264014466546113
brf-2T2019,2019-08-09,150,0.30060120240480964,44,0.08817635270541083,305,0.6112224448897795,0.2124248496993988
brf-4T2018,2019-02-28,106,0.2260127931769723,61,0.1300639658848614,302,0.6439232409381663,0.09594882729211088
brf-4T2016,2017-02-24,107,0.2157258064516129,60,0.12096774193548387,329,0.6633064516129032,0.09475806451612903
brf-4T2015,2016-02-26,186,0.4105960264900662,32,0.0706401766004415,235,0.5187637969094923,0.33995584988962474
brf-3T2019,2019-11-08,143,0.26579925650557623,65,0.120817843866171,330,0.6133828996282528,0.1449814126394052
brf-4T2020,2021-02-26,128,0.3368421052631579,43,0.11315789473684211,209,0.55,0.2236842105263158
bradesco-3T2017,3T2017,64,0.29767441860465116,32,0.14883720930232558,119,0.5534883720930233,0.14883720930232558
bradesco-4T2021,2022-02-09,171,0.4052132701421801,49,0.11611374407582939,202,0.4786729857819905,0.2890995260663507
bradesco-1T2016,2016-07-29,109,0.22755741127348644,95,0.19832985386221294,275,0.5741127348643006,0.029227557411273485
bradesco-3T2022,2022-11-09,107,0.31470588235294117,53,0.15588235294117647,180,0.5294117647058824,0.1588235294117647
bradesco-2T2018,2018-07-26,134,0.32211538461538464,48,0.11538461538461539,234,0.5625,0.20673076923076922
bradesco-1T2019,2019-04-25,134,0.39762611275964393,27,0.08011869436201781,176,0.5222551928783383,0.31750741839762614
bradesco-1T2020,2020-04-30,80,0.18433179723502305,100,0.2304147465437788,254,0.5852534562211982,-0.04608294930875576
bradesco-2T2015,2015-07-31,136,0.38526912181303113,46,0.13031161473087818,171,0.48441926345609065,0.254957507082153
bradesco-3T2018,2018-11-01,99,0.38671875,35,0.13671875,122,0.4765625,0.25
bradesco-4T2017,2018-02-01,118,0.28502415458937197,57,0.13768115942028986,239,0.5772946859903382,0.1473429951690821
bradesco-2T2022,2022-08-05,123,0.27702702702702703,67,0.15090090090090091,254,0.5720720720720721,0.12612612612612611
bradesco-1T2022,2022-05-06,181,0.401330376940133,52,0.11529933481152993,218,0.48337028824833705,0.2860310421286031
bradesco-1T2021,2021-05-05,106,0.33544303797468356,48,0.1518987341772152,162,0.5126582278481012,0.18354430379746836
bradesco-1T2017,1T2017,83,0.2618296529968454,65,0.20504731861198738,169,0.5331230283911672,0.056782334384858045
bradesco-2T2021,2021-08-04,119,0.31151832460732987,78,0.20418848167539266,185,0.48429319371727747,0.10732984293193717
bradesco-3T2020,2020-10-29,120,0.27149321266968324,93,0.21040723981900453,229,0.5180995475113123,0.06108597285067873
bradesco-2T2017,2017-07-28,119,0.2989949748743719,63,0.15829145728643215,216,0.542713567839196,0.1407035175879397
bradesco-3T2016,3T2016,183,0.34014869888475835,99,0.18401486988847585,256,0.4758364312267658,0.15613382899628253
bradesco-3T2021,2021-11-05,157,0.38957816377171217,52,0.12903225806451613,194,0.4813895781637717,0.26054590570719605
bradesco-3T2015,3T2015,33,0.10344827586206896,62,0.19435736677115986,224,0.7021943573667712,-0.09090909090909091
bradesco-2T2016,2016-04-29,114,0.2375,71,0.14791666666666667,295,0.6145833333333334,0.08958333333333333
bradesco-1T2015,2015-04-30,182,0.3333333333333333,80,0.14652014652014653,284,0.5201465201465202,0.18681318681318682
bradesco-1T2018,2018-04-26,116,0.3333333333333333,50,0.14367816091954022,182,0.5229885057471264,0.1896551724137931
bradesco-2T2020,2020-07-30,102,0.22818791946308725,79,0.1767337807606264,266,0.5950782997762863,0.05145413870246085
bradesco-4T2022,2023-02-10,101,0.26861702127659576,59,0.15691489361702127,216,0.574468085106383,0.11170212765957446
bradesco-4T2019,2020-02-05,206,0.24178403755868544,107,0.1255868544600939,539,0.6326291079812206,0.11619718309859155
bradesco-2T2019,2019-07-25,137,0.34595959595959597,46,0.11616161616161616,213,0.5378787878787878,0.2297979797979798
bradesco-4T2018,2019-01-31,117,0.41637010676156583,29,0.10320284697508897,135,0.4804270462633452,0.31316725978647686
bradesco-4T2016,4T2016,139,0.22712418300653595,97,0.15849673202614378,376,0.6143790849673203,0.06862745098039216
bradesco-4T2015,2016-01-29,184,0.35384615384615387,74,0.1423076923076923,262,0.5038461538461538,0.21153846153846154
bradesco-3T2019,2019-10-31,130,0.2584493041749503,65,0.12922465208747516,308,0.6123260437375746,0.12922465208747516
bradesco-4T2020,2020-02-04,163,0.30241187384044527,74,0.137291280148423,302,0.5602968460111317,0.16512059369202226
natura-3T2017,2017-11-16,123,0.30597014925373134,33,0.08208955223880597,246,0.6119402985074627,0.22388059701492538
natura-4T2021,4T2021,161,0.3726851851851852,60,0.1388888888888889,211,0.48842592592592593,0.2337962962962963
natura-1T2016,2016-04-28,161,0.2069408740359897,127,0.16323907455012854,490,0.6298200514138818,0.043701799485861184
natura-3T2022,2022-11-10,112,0.42748091603053434,34,0.1297709923664122,116,0.44274809160305345,0.29770992366412213
natura-4T2011,2012-02-17,79,0.19602977667493796,43,0.10669975186104218,281,0.6972704714640199,0.08933002481389578
natura-1T2013,2013-04-26,90,0.1836734693877551,46,0.09387755102040816,354,0.7224489795918367,0.08979591836734693
natura-3T2012,2012-10-26,109,0.218436873747495,56,0.11222444889779559,334,0.6693386773547094,0.1062124248496994
natura-2T2018,2018-08-10,140,0.3977272727272727,30,0.08522727272727272,182,0.5170454545454546,0.3125
natura-1T2012,2012-04-27,99,0.24324324324324326,24,0.05896805896805897,284,0.6977886977886978,0.18427518427518427
natura-2T2014,2014-07-25,85,0.17598343685300208,60,0.12422360248447205,338,0.6997929606625258,0.051759834368530024
natura-1T2020,1T2020,155,0.3855721393034826,56,0.13930348258706468,191,0.47512437810945274,0.2462686567164179
natura-2T2015,2015-07-23,127,0.2170940170940171,77,0.13162393162393163,381,0.6512820512820513,0.08547008547008547
natura-4T2017,4T2017,191,0.39791666666666664,19,0.03958333333333333,270,0.5625,0.35833333333333334
natura-2T2012,2012-07-27,101,0.23271889400921658,25,0.0576036866359447,308,0.7096774193548387,0.17511520737327188
natura-2T2022,2022-08-12,123,0.3342391304347826,46,0.125,199,0.5407608695652174,0.20923913043478262
natura-1T2022,2022-05-06,119,0.35103244837758113,56,0.16519174041297935,164,0.4837758112094395,0.18584070796460178
natura-2T2013,2013-07-26,132,0.23157894736842105,49,0.08596491228070176,389,0.6824561403508772,0.1456140350877193
natura-3T2013,2013-10-25,104,0.2810810810810811,20,0.05405405405405406,246,0.6648648648648648,0.22702702702702704
natura-1T2021,1T2021,170,0.49707602339181284,20,0.05847953216374269,152,0.4444444444444444,0.43859649122807015
natura-1T2017,2017-04-27,111,0.22379032258064516,39,0.07862903225806452,346,0.6975806451612904,0.14516129032258066
natura-4T2014,2015-02-13,103,0.23198198198198197,39,0.08783783783783784,302,0.6801801801801802,0.14414414414414414
natura-1T2010,2010-04-30,67,0.21967213114754097,22,0.07213114754098361,216,0.7081967213114754,0.14754098360655737
