Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,5.970000,6.430000,5.930000,6.280000,6.280000,4460100
2022-10-28,6.240000,6.400000,6.050000,6.170000,6.170000,5254900
2022-10-31,6.550000,6.910000,6.460000,6.850000,6.850000,17085900
2022-11-01,6.890000,7.350000,6.730000,7.190000,7.190000,7273000
2022-11-03,7.010000,7.280000,7.010000,7.180000,7.180000,6858500
2022-11-04,7.300000,7.520000,7.090000,7.300000,7.300000,6329300
2022-11-07,7.260000,7.300000,6.640000,6.640000,6.640000,5428300
2022-11-08,6.630000,6.770000,6.430000,6.590000,6.590000,2592600
2022-11-09,6.560000,6.660000,6.370000,6.460000,6.460000,1675400
2022-11-10,6.310000,6.340000,5.690000,5.880000,5.880000,4333700
2022-11-11,5.930000,6.120000,5.640000,5.710000,5.710000,3950800
2022-11-14,5.780000,5.840000,5.350000,5.580000,5.580000,9718600
2022-11-16,5.530000,5.700000,5.150000,5.230000,5.230000,5574300
2022-11-17,5.110000,5.130000,4.890000,5.080000,5.080000,8249500
2022-11-18,5.150000,5.400000,5.020000,5.060000,5.060000,4758600
2022-11-21,5.100000,5.270000,4.980000,5.230000,5.230000,3765600
2022-11-22,5.230000,5.310000,4.940000,5.000000,5.000000,2533800
2022-11-23,4.960000,5.000000,4.650000,4.760000,4.760000,7142200
2022-11-24,4.820000,5.100000,4.820000,5.020000,5.020000,4039500
2022-11-25,5.030000,5.030000,4.570000,4.570000,4.570000,4862200
2022-11-28,4.560000,4.560000,4.160000,4.250000,4.250000,7526100
2022-11-29,4.260000,4.390000,4.160000,4.330000,4.330000,5773400
2022-11-30,4.320000,4.460000,4.130000,4.420000,4.420000,9372000
2022-12-01,4.380000,4.590000,4.260000,4.430000,4.430000,4494500
2022-12-02,4.450000,4.570000,4.430000,4.480000,4.480000,2987700
2022-12-05,4.470000,4.480000,4.200000,4.290000,4.290000,2934700
2022-12-06,4.300000,4.350000,4.180000,4.240000,4.240000,4600100
2022-12-07,4.240000,4.440000,4.220000,4.320000,4.320000,2610100
2022-12-08,4.310000,4.320000,4.100000,4.150000,4.150000,6378900
2022-12-09,4.160000,4.270000,3.920000,3.980000,3.980000,4493700
2022-12-12,3.980000,4.040000,3.610000,3.930000,3.930000,9109700
2022-12-13,3.940000,4.080000,3.730000,3.930000,3.930000,8860900
2022-12-14,3.890000,4.090000,3.830000,4.020000,4.020000,5449900
2022-12-15,3.990000,4.190000,3.980000,4.050000,4.050000,2869300
2022-12-16,4.030000,4.040000,3.690000,3.700000,3.700000,6065300
2022-12-19,3.720000,3.920000,3.680000,3.810000,3.810000,6668700
2022-12-20,3.810000,4.050000,3.730000,3.900000,3.900000,6344900
2022-12-21,3.950000,4.100000,3.790000,4.050000,4.050000,4544000
2022-12-22,4.050000,4.130000,3.820000,3.960000,3.960000,5299000
2022-12-23,3.990000,4.190000,3.920000,4.180000,4.180000,4693300
2022-12-26,4.170000,4.260000,4.060000,4.160000,4.160000,1076000
2022-12-27,4.170000,4.230000,3.830000,3.850000,3.850000,4134200
2022-12-28,3.880000,4.110000,3.820000,4.110000,4.110000,5200300
2022-12-29,4.120000,4.200000,3.810000,3.860000,3.860000,8056900
2023-01-02,3.820000,3.840000,3.640000,3.800000,3.800000,4216800
2023-01-03,3.800000,3.820000,3.630000,3.650000,3.650000,7726100
2023-01-04,3.660000,3.740000,3.540000,3.600000,3.600000,5722900
2023-01-05,3.620000,3.690000,3.500000,3.570000,3.570000,5949000
2023-01-06,3.580000,3.740000,3.510000,3.590000,3.590000,7025600
2023-01-09,3.530000,3.910000,3.460000,3.800000,3.800000,6961700
2023-01-10,3.780000,3.840000,3.590000,3.810000,3.810000,7860400
2023-01-11,3.810000,3.890000,3.660000,3.890000,3.890000,4315200
2023-01-12,3.860000,4.140000,3.750000,3.910000,3.910000,5892400
2023-01-13,3.870000,3.900000,3.750000,3.780000,3.780000,4118600
2023-01-16,3.750000,3.810000,3.700000,3.710000,3.710000,3335600
2023-01-17,3.710000,3.800000,3.660000,3.700000,3.700000,3339300
2023-01-18,3.760000,4.210000,3.750000,4.130000,4.130000,13729800
2023-01-19,4.060000,4.210000,4.030000,4.200000,4.200000,4871600
2023-01-20,4.200000,4.300000,4.140000,4.160000,4.160000,1901400
2023-01-23,4.150000,4.340000,4.120000,4.230000,4.230000,3047500
2023-01-24,4.240000,4.350000,4.170000,4.200000,4.200000,2317100
2023-01-25,4.170000,4.420000,4.100000,4.280000,4.280000,2682500
2023-01-26,4.280000,4.340000,4.130000,4.150000,4.150000,2117500
2023-01-27,4.180000,4.190000,4.040000,4.090000,4.090000,2637400
2023-01-30,4.120000,4.160000,4.030000,4.080000,4.080000,2143800
2023-01-31,4.100000,4.510000,4.010000,4.420000,4.420000,6594900
2023-02-01,4.410000,4.590000,4.220000,4.530000,4.530000,5726000
2023-02-02,4.500000,4.730000,4.460000,4.540000,4.540000,4876500
2023-02-03,4.540000,4.540000,4.050000,4.050000,4.050000,4191900
2023-02-06,4.080000,4.090000,3.840000,3.930000,3.930000,5976100
2023-02-07,3.910000,4.020000,3.880000,3.890000,3.890000,4550900
2023-02-08,3.910000,4.030000,3.850000,4.010000,4.010000,6375500
2023-02-09,4.020000,4.200000,3.950000,3.960000,3.960000,5470400
2023-02-10,3.950000,4.130000,3.860000,4.100000,4.100000,4651900
2023-02-13,4.110000,4.130000,4.010000,4.020000,4.020000,3451500
2023-02-14,4.030000,4.090000,3.690000,3.710000,3.710000,6142300
2023-02-15,3.680000,3.870000,3.600000,3.710000,3.710000,5317200
2023-02-16,3.710000,3.840000,3.660000,3.800000,3.800000,4486500
2023-02-17,3.780000,3.840000,3.720000,3.750000,3.750000,3027100
2023-02-22,3.740000,3.750000,3.580000,3.750000,3.750000,3574900
2023-02-23,3.750000,3.890000,3.640000,3.720000,3.720000,4625000
2023-02-24,3.690000,3.760000,3.530000,3.540000,3.540000,3841800
2023-02-27,3.540000,3.580000,3.360000,3.370000,3.370000,4453800
2023-02-28,3.390000,3.410000,3.190000,3.190000,3.190000,6041000
2023-03-01,3.190000,3.250000,3.130000,3.200000,3.200000,8876300
2023-03-02,3.210000,3.280000,3.170000,3.230000,3.230000,3635000
