Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.997500,10.050000,9.787500,10.025000,6.019427,1447200
2010-01-05,10.000000,10.220000,9.962500,10.162500,6.101989,3492400
2010-01-06,10.130000,10.622500,10.075000,10.500000,6.304638,5304800
2010-01-07,10.447500,10.575000,10.380000,10.402500,6.246095,1464400
2010-01-08,10.440000,10.572500,10.377500,10.400000,6.244593,1652000
2010-01-11,10.442500,10.542500,10.387500,10.500000,6.304638,1882400
2010-01-12,10.350000,10.545000,10.200000,10.500000,6.304638,3600800
2010-01-13,10.550000,10.560000,10.255000,10.350000,6.214573,6491600
2010-01-14,10.287500,10.797500,10.287500,10.400000,6.244593,3454800
2010-01-15,10.400000,10.625000,10.315000,10.315000,6.193555,2046400
2010-01-18,10.377500,10.550000,10.305000,10.365000,6.223579,1038000
2010-01-19,10.362500,11.087500,10.362500,11.000000,6.604858,3842000
2010-01-20,10.795000,11.100000,10.665000,11.050000,6.634881,2600400
2010-01-21,11.147500,11.157500,10.695000,10.800000,6.484771,3462400
2010-01-22,10.750000,10.750000,10.100000,10.250000,6.154527,6478400
2010-01-26,10.185000,10.185000,9.837500,9.997500,6.002916,4025600
2010-01-27,9.957500,10.367500,9.900000,10.175000,6.109495,4574400
2010-01-28,10.275000,10.377500,9.985000,10.187500,6.117000,5046400
2010-01-29,10.287500,10.367500,9.877500,10.055000,6.037440,2596400
2010-02-01,10.037500,10.365000,10.005000,10.227500,6.141018,3484000
2010-02-02,10.252500,10.360000,10.030000,10.122500,6.077972,2866000
2010-02-03,10.077500,10.350000,9.967500,10.100000,6.064461,2254000
2010-02-04,9.995000,10.212500,9.555000,9.675000,5.809274,3314400
2010-02-05,9.675000,9.895000,9.227500,9.500000,5.704196,5105600
2010-02-08,9.630000,9.672500,9.307500,9.425000,5.659163,5144000
2010-02-09,9.575000,9.645000,9.472500,9.575000,5.749228,6475200
2010-02-10,9.587500,9.735000,9.292500,9.445000,5.671171,4674800
2010-02-11,9.407500,9.705000,9.350000,9.600000,5.764242,4764000
2010-02-12,9.572500,9.680000,9.410000,9.425000,5.659163,1570800
2010-02-17,9.525000,9.665000,9.090000,9.500000,5.704196,4224000
2010-02-18,9.422500,9.572500,9.422500,9.525000,5.719207,2658800
2010-02-19,9.475000,9.825000,9.475000,9.800000,5.884328,7977600
2010-02-22,9.925000,9.965000,9.677500,9.750000,5.854307,2624400
2010-02-23,9.617500,9.670000,9.430000,9.537500,5.726713,3210400
2010-02-24,9.477500,9.625000,9.440000,9.530000,5.722208,2152400
2010-02-25,9.395000,9.395000,9.165000,9.375000,5.629141,6716400
2010-02-26,9.375000,9.542500,9.200000,9.537500,5.726713,5122000
2010-03-01,9.485000,9.660000,9.422500,9.592500,5.759737,3746400
2010-03-02,9.560000,9.650000,9.502500,9.582500,5.753735,3162400
2010-03-03,9.575000,9.607500,9.227500,9.325000,5.599118,7734000
2010-03-04,9.322500,9.685000,9.300000,9.657500,5.798766,7096800
2010-03-05,9.682500,9.792500,9.500000,9.737500,5.846802,3858400
2010-03-08,9.737500,9.737500,9.387500,9.387500,5.636647,4612400
2010-03-09,9.347500,9.690000,9.327500,9.685000,5.815278,3590000
2010-03-10,9.710000,9.960000,9.512500,9.942500,5.969891,5226400
2010-03-11,9.850000,10.000000,9.777500,9.947500,5.972895,2424800
2010-03-12,9.955000,10.075000,9.852500,10.062500,6.041945,4853200
2010-03-15,9.980000,10.100000,9.925000,10.100000,6.064461,2086000
2010-03-16,10.007500,10.047500,9.755000,10.010000,6.010421,4180800
2010-03-17,10.005000,10.090000,9.852500,9.872500,5.927860,2680000
2010-03-18,9.857500,10.025000,9.802500,10.000000,6.004418,4002800
2010-03-19,10.012500,10.047500,9.697500,9.917500,5.954879,1694000
2010-03-22,9.797500,10.022500,9.797500,9.975000,5.989406,2243600
2010-03-23,9.990000,10.090000,9.892500,10.090000,6.058456,3433200
2010-03-24,9.987500,10.172500,9.987500,10.127500,6.080972,5879200
2010-03-25,10.115000,10.220000,9.900000,9.975000,5.989406,3999200
2010-03-26,9.905000,9.965000,9.790000,9.965000,5.983401,3525600
2010-03-29,10.055000,10.085000,9.910000,10.085000,6.055454,2495600
2010-03-30,10.082500,10.082500,9.880000,9.975000,5.989406,5638400
2010-03-31,9.850000,9.960000,9.660000,9.872500,5.927860,10326800
2010-04-01,9.807500,9.942500,9.602500,9.850000,5.914350,9518000
2010-04-05,9.825000,9.900000,9.740000,9.812500,5.891835,3418800
2010-04-06,9.730000,9.775000,9.595000,9.650000,5.794263,12474000
2010-04-07,9.632500,9.875000,9.607500,9.825000,5.899339,9330000
2010-04-08,9.995000,9.995000,9.737500,9.737500,5.846802,5188
2010-04-09,9.852500,9.852500,9.712500,9.850000,5.914350,2261600
2010-04-12,9.770000,9.892500,9.750000,9.750000,5.854307,1244000
2010-04-13,9.727500,9.825000,9.722500,9.800000,5.884328,2598000
2010-04-14,9.760000,9.865000,9.700000,9.800000,5.884328,4206800
2010-04-15,9.765000,9.792500,9.587500,9.787500,5.876821,6031200
2010-04-16,9.700000,9.785000,9.550000,9.735000,5.845299,3107600
2010-04-19,9.735000,9.872500,9.685000,9.862500,5.921857,3629600
2010-04-20,9.862500,9.922500,9.772500,9.912500,5.951879,1929200
2010-04-22,9.950000,10.062500,9.832500,9.975000,5.989406,5920800
2010-04-23,9.982500,10.097500,9.807500,10.037500,6.026933,2299200
2010-04-26,10.100000,10.100000,9.917500,10.025000,6.019427,1960400
2010-04-27,9.952500,10.022500,9.675000,9.747500,5.852808,7625600
2010-04-28,9.805000,9.935000,9.612500,9.762500,5.861813,4220400
2010-04-29,9.750000,9.872500,9.650000,9.825000,5.934291,3800000
2010-04-30,9.745000,10.075000,9.705000,10.060000,6.076231,4128400
2010-05-03,10.125000,10.247500,10.002500,10.162500,6.138141,6536
2010-05-04,10.037500,10.185000,9.880000,9.937500,6.002243,6360400
2010-05-05,9.720000,9.897500,9.625000,9.897500,5.978084,3498400
2010-05-06,9.800000,9.900000,9.162500,9.637500,5.821043,5860400
2010-05-07,9.592500,9.700000,9.367500,9.625000,5.813492,5470800
2010-05-10,9.925000,9.925000,9.667500,9.750000,5.888993,3979600
2010-05-11,9.650000,9.822500,9.605000,9.625000,5.813492,3784400
2010-05-12,9.667500,9.740000,9.475000,9.725000,5.873893,5193200
2010-05-13,9.725000,9.802500,9.665000,9.800000,5.919192,6366000
2010-05-14,9.775000,9.775000,9.257500,9.550000,5.768193,4695200
2010-05-17,9.450000,9.622500,9.052500,9.052500,5.467703,6112400
2010-05-18,9.127500,9.375000,9.105000,9.150000,5.526593,5983200
2010-05-19,9.100000,9.287500,8.885000,9.037500,5.458643,4724400
2010-05-20,8.850000,8.997500,8.655000,8.752500,5.286503,2950400
2010-05-21,8.797500,9.122500,8.752500,9.100000,5.496393,2845600
2010-05-24,9.050000,9.247500,8.957500,8.995000,5.432971,2213200
2010-05-25,8.875000,8.975000,8.600000,8.750000,5.284992,5140800
2010-05-26,8.850000,9.000000,8.650000,9.000000,5.435993,13732400
2010-05-27,9.050000,9.375000,9.040000,9.310000,5.623232,4646400
2010-05-28,9.200000,9.440000,9.177500,9.287500,5.609643,4075200
2010-05-31,9.287500,9.325000,9.202500,9.287500,5.609643,2458000
2010-06-01,9.067500,9.295000,9.000000,9.000000,5.435993,1814400
2010-06-02,9.005000,9.177500,9.005000,9.100000,5.496393,2094000
2010-06-04,8.997500,9.212500,8.907500,9.182500,5.546225,4286400
2010-06-07,9.245000,9.285000,9.052500,9.125000,5.511493,1163200
2010-06-08,9.137500,9.250000,9.000000,9.075000,5.481293,2194800
2010-06-09,9.130000,9.130000,8.982500,9.037500,5.458643,3191600
2010-06-10,9.055000,9.197500,9.037500,9.172500,5.540182,2919600
2010-06-11,9.125000,9.362500,9.075000,9.300000,5.617193,1946400
2010-06-14,9.297500,9.395000,9.265000,9.322500,5.630783,2058000
2010-06-15,9.355000,9.405000,9.220000,9.375000,5.662490,2060800
2010-06-16,9.305000,9.415000,9.250000,9.287500,5.609643,4259600
2010-06-17,9.350000,9.540000,9.267500,9.337500,5.639843,6017600
2010-06-18,9.375000,9.445000,9.220000,9.435000,5.698733,2996
2010-06-21,9.300000,9.370000,9.175000,9.275000,5.602093,3198400
2010-06-22,9.320000,9.322500,9.050000,9.050000,5.466193,3680000
2010-06-23,8.965000,8.965000,8.730000,8.800000,5.315193,8404000
2010-06-24,8.785000,8.975000,8.785000,8.852500,5.346902,5335200
2010-06-25,8.892500,9.177500,8.802500,9.177500,5.543202,4259200
2010-06-28,9.165000,9.350000,9.077500,9.345000,5.644373,3172000
2010-06-29,9.200000,9.377500,9.002500,9.225000,5.571892,5018000
2010-06-30,9.137500,9.495000,9.137500,9.345000,5.644373,4818400
2010-07-01,9.335000,9.360000,9.252500,9.312500,5.624743,4756400
2010-07-02,9.317500,9.470000,9.275000,9.347500,5.645884,1203200
2010-07-05,9.475000,9.477500,9.250000,9.260000,5.593032,1046000
2010-07-06,9.372500,9.602500,9.305000,9.545000,5.765172,2929200
2010-07-07,9.597500,9.765000,9.575000,9.625000,5.813492,2802800
2010-07-08,9.717500,9.745000,9.547500,9.700000,5.858792,2412400
2010-07-12,9.500000,9.787500,9.500000,9.750000,5.888993,930400
2010-07-13,9.675000,9.772500,9.560000,9.700000,5.858792,1541600
2010-07-14,9.620000,9.697500,9.370000,9.450000,5.707793,1538800
2010-07-15,9.390000,9.450000,9.300000,9.440000,5.701752,2026800
2010-07-16,9.500000,9.562500,9.345000,9.345000,5.644373,2216000
2010-07-19,9.375000,9.610000,9.357500,9.595000,5.795372,791600
2010-07-20,9.550000,9.757500,9.460000,9.662500,5.836143,2628000
2010-07-21,9.710000,9.797500,9.510000,9.562500,5.775742,1393600
2010-07-22,9.625000,9.735000,9.525000,9.550000,5.768193,2982400
2010-07-23,9.597500,9.697500,9.550000,9.625000,5.813492,3319200
2010-07-26,9.620000,9.872500,9.525000,9.822500,5.932784,1729600
2010-07-27,9.862500,10.080000,9.692500,10.000000,6.039993,2821200
2010-07-28,9.935000,9.987500,9.692500,9.932500,5.999222,1720800
2010-07-29,9.960000,10.087500,9.890000,10.050000,6.070193,1784800
2010-07-30,9.907500,10.110000,9.827500,10.015000,6.049051,1812400
2010-08-02,10.120000,10.425000,10.047500,10.375000,6.266491,2186800
2010-08-03,10.372500,10.375000,10.065000,10.065000,6.079252,2028800
2010-08-04,10.300000,10.300000,9.850000,10.125000,6.115491,7513600
2010-08-05,10.097500,10.290000,9.807500,10.045000,6.067172,4036400
2010-08-06,10.012500,10.090000,9.900000,9.950000,6.009792,2499200
2010-08-09,10.057500,10.112500,9.910000,10.025000,6.055092,1393200
2010-08-10,9.890000,10.120000,9.865000,10.075000,6.085292,1523600
2010-08-11,10.057500,10.057500,9.860000,9.925000,5.994692,1413600
2010-08-12,9.800000,9.922500,9.702500,9.875000,5.964492,1365600
2010-08-13,9.805000,9.975000,9.612500,9.625000,5.813492,3601200
2010-08-16,9.640000,9.787500,9.455000,9.787500,5.911642,2352800
2010-08-17,9.772500,9.775000,9.612500,9.650000,5.828592,5494000
2010-08-18,9.697500,9.737500,9.625000,9.737500,5.881444,3055200
2010-08-19,9.725000,9.800000,9.625000,9.775000,5.904092,1368800
2010-08-20,9.787500,9.817500,9.650000,9.700000,5.858792,1591600
2010-08-23,9.752500,9.950000,9.682500,9.750000,5.888993,1699200
2010-08-24,9.650000,9.770000,9.625000,9.730000,5.876913,1402800
2010-08-25,9.652500,9.715000,9.512500,9.675000,5.843693,1276000
2010-08-26,9.700000,9.787500,9.605000,9.652500,5.830102,2488800
2010-08-27,9.747500,10.050000,9.645000,9.975000,6.024892,2477600
2010-08-30,10.047500,10.275000,9.887500,10.275000,6.206092,1488
2010-08-31,9.890000,10.125000,9.890000,10.075000,6.085292,2592400
2010-09-01,10.075000,10.495000,10.072500,10.077500,6.086803,5524
2010-09-02,10.405000,10.422500,10.155000,10.387500,6.274041,1872000
2010-09-03,10.387500,10.495000,10.292500,10.425000,6.296692,1582000
2010-09-06,10.450000,10.462500,10.250000,10.265000,6.200052,754000
2010-09-08,10.250000,10.507500,10.195000,10.385000,6.272532,2246400
2010-09-09,10.412500,10.487500,10.320000,10.487500,6.334443,1752000
2010-09-10,10.497500,10.615000,10.402500,10.615000,6.411451,2363600
2010-09-13,10.625000,10.800000,10.575000,10.787500,6.515642,2009200
2010-09-14,10.750000,10.920000,10.750000,10.840000,6.547350,2039600
2010-09-15,10.840000,10.875000,10.732500,10.822500,6.536782,3460000
2010-09-16,10.822500,10.860000,10.477500,10.500000,6.341992,3491200
2010-09-17,10.487500,10.570000,10.305000,10.420000,6.293672,4115600
