Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,8.350000,8.870000,8.290000,8.620000,8.620000,16647500
2022-10-28,8.460000,8.830000,8.390000,8.830000,8.830000,15684800
2022-10-31,8.550000,9.670000,8.510000,9.610000,9.610000,19472100
2022-11-01,9.650000,10.050000,9.330000,9.900000,9.900000,16485300
2022-11-03,9.620000,9.950000,9.350000,9.930000,9.930000,14876400
2022-11-04,10.060000,10.270000,9.840000,9.950000,9.950000,14851600
2022-11-07,9.980000,10.150000,9.310000,9.350000,9.350000,12203200
2022-11-08,9.330000,9.650000,9.160000,9.370000,9.370000,15088400
2022-11-09,9.270000,9.400000,9.060000,9.290000,9.290000,13382100
2022-11-10,9.050000,9.090000,8.020000,8.190000,8.190000,23832800
2022-11-11,8.210000,8.740000,8.140000,8.560000,8.560000,22744500
2022-11-14,8.610000,9.100000,8.460000,9.040000,9.040000,13599700
2022-11-16,9.000000,9.160000,8.340000,8.430000,8.430000,12215600
2022-11-17,8.280000,8.350000,7.860000,8.350000,8.350000,16517400
2022-11-18,8.550000,8.820000,8.270000,8.350000,8.350000,11951400
2022-11-21,8.450000,8.730000,8.220000,8.670000,8.670000,11065600
2022-11-22,8.690000,8.780000,8.250000,8.320000,8.320000,10786500
2022-11-23,8.230000,8.360000,7.980000,8.130000,8.130000,13517700
2022-11-24,8.280000,8.350000,8.170000,8.300000,8.300000,6397100
2022-11-25,8.280000,8.290000,7.920000,7.950000,7.950000,9180000
2022-11-28,7.970000,8.110000,7.870000,7.910000,7.910000,9793600
2022-11-29,7.970000,8.100000,7.850000,7.920000,7.920000,9751700
2022-11-30,7.950000,8.310000,7.860000,8.310000,8.310000,12583500
2022-12-01,8.140000,8.320000,7.940000,7.980000,7.980000,9535700
2022-12-02,8.000000,8.180000,7.930000,8.030000,8.030000,11637200
2022-12-05,7.980000,8.050000,7.560000,7.560000,7.560000,10305100
2022-12-06,7.670000,8.070000,7.660000,7.870000,7.870000,13105800
2022-12-07,7.810000,8.180000,7.660000,8.070000,8.070000,12509900
2022-12-08,8.030000,8.050000,7.500000,7.520000,7.520000,13749600
2022-12-09,7.620000,7.690000,7.240000,7.280000,7.280000,10259100
2022-12-12,7.250000,7.680000,7.030000,7.620000,7.620000,13185700
2022-12-13,7.640000,7.780000,7.370000,7.400000,7.400000,11588200
2022-12-14,7.360000,7.380000,6.880000,6.930000,6.930000,22445800
2022-12-15,6.930000,7.130000,6.480000,6.480000,6.480000,20886900
2022-12-16,6.490000,6.550000,6.050000,6.130000,6.130000,16578700
2022-12-19,6.150000,6.420000,6.090000,6.260000,6.260000,16418900
2022-12-20,6.230000,7.120000,6.190000,6.960000,6.960000,19386800
2022-12-21,7.000000,7.220000,6.830000,7.140000,7.140000,12765000
2022-12-22,7.110000,7.290000,7.000000,7.230000,7.230000,11662100
2022-12-23,7.250000,7.840000,7.240000,7.580000,7.580000,11254900
2022-12-26,7.660000,7.790000,7.410000,7.500000,7.500000,2680500
2022-12-27,7.500000,7.570000,7.140000,7.220000,7.220000,9718400
2022-12-28,7.290000,7.580000,7.200000,7.520000,7.520000,9592100
2022-12-29,7.550000,7.800000,7.340000,7.340000,7.340000,6895500
2023-01-02,7.280000,7.280000,6.880000,6.880000,6.880000,5078800
2023-01-03,6.900000,7.110000,6.580000,6.630000,6.630000,9913400
2023-01-04,6.670000,6.950000,6.590000,6.840000,6.840000,9380100
2023-01-05,6.890000,7.360000,6.780000,7.350000,7.350000,8957300
2023-01-06,7.300000,7.650000,7.250000,7.620000,7.620000,8020000
