Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,6.820000,7.380000,6.800000,7.030000,7.030000,41970200
2022-10-28,6.980000,7.250000,6.900000,7.190000,7.190000,44713000
2022-10-31,7.240000,7.850000,7.060000,7.800000,7.800000,71769900
2022-11-01,7.640000,7.980000,7.510000,7.830000,7.830000,37380900
2022-11-03,7.590000,8.100000,7.590000,7.850000,7.850000,34650800
2022-11-04,8.010000,8.110000,7.780000,7.910000,7.910000,49171400
2022-11-07,7.910000,8.020000,7.520000,7.590000,7.590000,35322800
2022-11-08,7.520000,7.730000,7.440000,7.580000,7.580000,37372200
2022-11-09,7.500000,7.580000,7.300000,7.390000,7.390000,32630600
2022-11-10,6.650000,7.100000,6.220000,6.380000,6.380000,178557800
2022-11-11,6.220000,6.560000,6.090000,6.290000,6.290000,89320900
2022-11-14,6.380000,6.580000,6.240000,6.400000,6.400000,57800700
2022-11-16,6.300000,6.390000,5.590000,5.700000,5.700000,117770200
2022-11-17,5.580000,5.620000,5.270000,5.500000,5.500000,117430700
2022-11-18,5.630000,5.970000,5.550000,5.680000,5.680000,83221900
2022-11-21,5.820000,5.900000,5.490000,5.600000,5.600000,52842400
2022-11-22,5.550000,5.660000,5.230000,5.400000,5.400000,93581000
2022-11-23,5.360000,5.380000,5.170000,5.330000,5.330000,106128200
2022-11-24,5.400000,5.600000,5.370000,5.590000,5.590000,37694800
2022-11-25,5.560000,5.630000,5.240000,5.300000,5.300000,50584400
2022-11-28,5.320000,5.400000,5.110000,5.140000,5.140000,52438500
2022-11-29,5.140000,5.270000,5.020000,5.190000,5.190000,68058400
2022-11-30,5.200000,5.330000,4.890000,5.200000,5.200000,106634500
2022-12-01,5.190000,5.190000,4.900000,4.910000,4.910000,81251700
2022-12-02,4.980000,5.350000,4.890000,5.230000,5.230000,60440700
2022-12-05,5.190000,5.190000,4.930000,4.990000,4.990000,35894800
2022-12-06,5.050000,5.060000,4.850000,5.030000,5.030000,39117000
2022-12-07,5.010000,5.290000,4.980000,5.120000,5.120000,70985500
2022-12-08,4.980000,5.030000,4.880000,4.980000,4.980000,53154700
2022-12-09,5.000000,5.010000,4.730000,4.730000,4.730000,34034300
2022-12-12,4.680000,4.780000,4.450000,4.520000,4.520000,53639000
2022-12-13,4.550000,4.740000,4.370000,4.390000,4.390000,57992700
2022-12-14,4.350000,4.580000,4.210000,4.540000,4.540000,73845600
2022-12-15,4.440000,4.690000,4.420000,4.630000,4.630000,50474400
2022-12-16,4.630000,4.680000,4.490000,4.590000,4.590000,44880500
2022-12-19,4.600000,4.680000,4.460000,4.590000,4.590000,43786000
2022-12-20,4.520000,5.000000,4.480000,4.900000,4.900000,57220900
2022-12-21,4.900000,5.210000,4.840000,5.120000,5.120000,66339100
2022-12-22,5.030000,5.340000,5.030000,5.090000,5.090000,45716200
2022-12-23,5.110000,5.400000,5.110000,5.280000,5.280000,34904400
2022-12-26,5.150000,5.240000,5.100000,5.180000,5.180000,11137300
2022-12-27,5.200000,5.220000,4.950000,5.010000,5.010000,31252700
2022-12-28,5.040000,5.270000,5.040000,5.220000,5.220000,26046100
2022-12-29,5.300000,5.320000,5.080000,5.080000,5.080000,45331000
2023-01-02,4.960000,5.000000,4.630000,4.640000,4.640000,22269600
2023-01-03,4.670000,4.800000,4.500000,4.510000,4.510000,51774300
2023-01-04,4.570000,4.650000,4.460000,4.580000,4.580000,59627400
2023-01-05,4.630000,4.780000,4.470000,4.770000,4.770000,46150400
2023-01-06,4.610000,4.790000,4.540000,4.720000,4.720000,69814800
2023-01-09,4.690000,4.700000,4.140000,4.200000,4.200000,172033100
2023-01-10,4.200000,4.390000,4.160000,4.310000,4.310000,117923700
2023-01-11,4.310000,4.660000,4.170000,4.600000,4.600000,85194100
2023-01-12,4.600000,4.690000,4.350000,4.350000,4.350000,66832100
2023-01-13,4.220000,4.290000,4.100000,4.250000,4.250000,110382300
2023-01-16,4.250000,4.320000,4.110000,4.120000,4.120000,39217900
2023-01-17,4.140000,4.260000,4.110000,4.150000,4.150000,61752700
2023-01-18,4.190000,4.290000,4.130000,4.210000,4.210000,56259000
2023-01-19,4.160000,4.400000,4.080000,4.370000,4.370000,46296600
2023-01-20,4.400000,4.440000,4.260000,4.380000,4.380000,41711100
2023-01-23,4.390000,4.490000,4.220000,4.230000,4.230000,30392300
2023-01-24,4.270000,4.580000,4.200000,4.480000,4.480000,45855200
2023-01-25,4.480000,4.650000,4.330000,4.580000,4.580000,28242500
2023-01-26,4.580000,4.680000,4.390000,4.440000,4.440000,45343800
2023-01-27,4.420000,4.720000,4.400000,4.600000,4.600000,35703300
2023-01-30,4.620000,4.750000,4.500000,4.700000,4.700000,40445300
2023-01-31,4.700000,5.230000,4.700000,5.150000,5.150000,87544600
2023-02-01,5.120000,5.240000,4.930000,5.050000,5.050000,78338700
2023-02-02,5.030000,5.220000,5.010000,5.110000,5.110000,58609900
2023-02-03,5.110000,5.120000,4.610000,4.630000,4.630000,80382600
2023-02-06,4.630000,4.770000,4.480000,4.600000,4.600000,54105700
2023-02-07,4.610000,4.800000,4.570000,4.650000,4.650000,103678900
2023-02-08,4.650000,4.720000,4.190000,4.480000,4.480000,135948800
2023-02-09,4.480000,4.800000,4.450000,4.490000,4.490000,83387900
2023-02-10,4.480000,4.800000,4.420000,4.540000,4.540000,55825600
