Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.600000,23.295000,22.305000,22.895000,20.607105,3004400
2010-01-05,22.865000,23.230000,22.760000,23.135000,20.823124,2853800
2010-01-06,23.080000,23.600000,23.075001,23.450001,21.106644,2931400
2010-01-07,23.245001,23.555000,22.930000,23.305000,20.976131,2292800
2010-01-08,23.420000,23.500000,22.945000,23.400000,21.061638,1579000
2010-01-11,23.480000,23.655001,23.080000,23.325001,20.994135,1675000
2010-01-12,23.059999,23.250000,22.860001,23.250000,20.926632,2149200
2010-01-13,23.195000,23.490000,22.924999,23.459999,21.115646,1891600
2010-01-14,23.495001,23.525000,23.014999,23.025000,20.724115,3247000
2010-01-15,23.000000,23.379999,22.674999,23.200001,20.881626,2949600
2010-01-18,23.420000,23.430000,23.115000,23.275000,20.949135,1395400
2010-01-19,22.965000,23.535000,22.965000,23.500000,21.151649,3006400
2010-01-20,23.500000,24.100000,23.025000,24.100000,21.691689,4828400
2010-01-21,23.995001,24.049999,23.025000,23.645000,21.282156,3908800
2010-01-22,23.250000,23.719999,23.250000,23.400000,21.061638,2477000
2010-01-26,23.030001,23.100000,22.405001,22.600000,20.341585,3527000
2010-01-27,22.510000,23.370001,22.510000,23.200001,20.881626,2540000
2010-01-28,23.430000,23.500000,22.559999,22.799999,20.521599,2342600
2010-01-29,23.094999,23.250000,22.420000,22.575001,20.319078,2762400
2010-02-01,22.450001,22.740000,22.334999,22.450001,20.206577,2421200
2010-02-02,22.465000,22.799999,22.299999,22.450001,20.206577,2483000
2010-02-03,22.410000,23.299999,22.410000,23.129999,20.818619,2401600
2010-02-04,22.950001,22.995001,22.254999,22.500000,20.251579,2363200
2010-02-05,22.330000,22.750000,21.750000,22.000000,19.801540,3164200
2010-02-08,22.000000,22.500000,21.750000,22.049999,19.846544,1930000
2010-02-09,22.385000,22.875000,22.299999,22.600000,20.341585,3368000
2010-02-10,22.510000,22.645000,22.000000,22.500000,20.251579,2012400
2010-02-11,22.500000,22.540001,22.004999,22.450001,20.206577,2592400
2010-02-12,22.445000,22.445000,21.965000,22.004999,19.806042,1270400
2010-02-17,22.495001,23.100000,22.400000,23.049999,20.746611,2255000
2010-02-18,22.850000,23.344999,22.584999,23.344999,21.012133,1559600
2010-02-19,23.075001,23.350000,22.879999,23.125000,20.814123,1323800
2010-02-22,23.264999,23.320000,22.580000,22.580000,20.323584,1742200
2010-02-23,22.504999,22.750000,22.084999,22.400000,20.161566,982000
2010-02-24,22.465000,22.754999,22.264999,22.540001,20.287580,1200200
