Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,9.340000,9.990000,9.340000,9.780000,9.694838,7716600
2022-10-28,9.650000,10.290000,9.590000,10.140000,10.051703,8372100
2022-10-31,9.830000,11.000000,9.710000,10.930000,10.834824,9932000
2022-11-01,10.930000,11.100000,10.690000,10.890000,10.795172,6465400
2022-11-03,10.740000,11.230000,10.400000,11.100000,11.003344,8732300
2022-11-04,11.200000,11.390000,10.070000,10.080000,9.992225,20501300
2022-11-07,10.000000,10.250000,9.570000,9.630000,9.546144,7617800
2022-11-08,9.500000,9.870000,9.470000,9.720000,9.635361,7521200
2022-11-09,9.660000,10.150000,9.610000,10.000000,9.912922,8560300
2022-11-10,9.500000,9.800000,8.710000,8.960000,8.881978,16521100
2022-11-11,8.810000,8.910000,7.850000,8.080000,8.009641,21411200
2022-11-14,7.980000,8.590000,7.940000,8.400000,8.326854,10120700
2022-11-16,8.500000,8.530000,7.550000,7.720000,7.652775,16438000
2022-11-17,7.460000,7.590000,7.130000,7.550000,7.484256,10865700
2022-11-18,7.740000,7.850000,7.370000,7.400000,7.335562,7851200
2022-11-21,7.680000,7.840000,7.520000,7.770000,7.702340,6545400
2022-11-22,7.870000,7.950000,7.350000,7.480000,7.414865,5984700
2022-11-23,7.500000,7.650000,7.300000,7.520000,7.454517,6876700
2022-11-24,7.710000,7.920000,7.590000,7.700000,7.632949,4748100
2022-11-25,7.680000,7.680000,7.280000,7.360000,7.295910,6033200
2022-11-28,7.350000,7.570000,7.280000,7.450000,7.385127,5965600
2022-11-29,7.490000,7.980000,7.290000,7.810000,7.741992,8828600
2022-11-30,7.810000,8.560000,7.700000,8.400000,8.326854,22188900
2022-12-01,8.400000,8.530000,8.060000,8.410000,8.336767,11557400
2022-12-02,8.500000,9.020000,8.430000,8.970000,8.891891,14727600
2022-12-05,8.790000,8.890000,8.410000,8.440000,8.366506,9221700
2022-12-06,8.520000,8.600000,8.060000,8.200000,8.128595,8896400
2022-12-07,8.160000,8.310000,7.700000,7.920000,7.851034,11430700
2022-12-08,7.890000,7.970000,7.380000,7.580000,7.513995,11334800
2022-12-09,7.710000,7.740000,7.310000,7.430000,7.365301,9591400
2022-12-12,7.380000,7.640000,7.150000,7.450000,7.385127,7782500
2022-12-13,7.500000,7.880000,7.220000,7.260000,7.196782,9981100
2022-12-14,7.290000,7.310000,6.840000,7.080000,7.018349,18762000
2022-12-15,6.980000,7.370000,6.830000,7.110000,7.048088,14480600
2022-12-16,7.060000,7.220000,6.690000,6.750000,6.691222,8253400
2022-12-19,6.800000,7.390000,6.730000,7.100000,7.038174,11263900
2022-12-20,7.070000,7.850000,6.910000,7.540000,7.474343,9033100
2022-12-21,7.670000,7.730000,7.230000,7.480000,7.414865,5892600
2022-12-22,7.550000,7.550000,7.090000,7.170000,7.107565,6536400
2022-12-23,7.210000,7.590000,7.070000,7.180000,7.117478,14476400
2022-12-26,7.190000,7.250000,6.880000,7.040000,6.978697,3936100
2022-12-27,7.070000,7.110000,6.810000,6.870000,6.810177,4877900
2022-12-28,6.900000,7.130000,6.850000,7.050000,6.988610,6260200
2022-12-29,7.090000,7.230000,7.000000,7.020000,6.958871,8439000
2023-01-02,6.810000,6.820000,6.350000,6.420000,6.364096,9261900
2023-01-03,6.440000,6.530000,5.950000,5.980000,5.927927,14128600
2023-01-04,5.980000,6.130000,5.710000,5.990000,5.937840,18059800
2023-01-05,6.030000,6.570000,6.010000,6.540000,6.483051,16238400
2023-01-06,6.540000,6.850000,6.350000,6.500000,6.443399,13998200
2023-01-09,6.400000,6.740000,6.400000,6.550000,6.492964,10944800
2023-01-10,6.530000,6.920000,6.410000,6.870000,6.810177,9614400
2023-01-11,6.800000,6.920000,6.350000,6.600000,6.542528,16381700
2023-01-12,6.410000,6.700000,6.280000,6.500000,6.443399,12344500
2023-01-13,6.410000,6.600000,6.330000,6.460000,6.403748,7808800
2023-01-16,6.400000,6.640000,6.210000,6.270000,6.215402,6097600
2023-01-17,6.320000,6.400000,6.080000,6.210000,6.155924,10260100
2023-01-18,6.280000,6.460000,6.170000,6.340000,6.284792,9054700
2023-01-19,6.260000,6.560000,6.180000,6.450000,6.393835,7177100
2023-01-20,6.450000,6.470000,6.270000,6.420000,6.364096,7626300
2023-01-23,6.430000,6.590000,6.380000,6.380000,6.324444,3618400
2023-01-24,6.400000,6.550000,6.360000,6.520000,6.463225,5879800
2023-01-25,6.510000,6.750000,6.370000,6.680000,6.621831,7179200
2023-01-26,6.730000,6.800000,6.480000,6.510000,6.453312,7454700
2023-01-27,6.510000,6.580000,6.330000,6.360000,6.304618,7957700
2023-01-30,6.390000,6.500000,6.260000,6.340000,6.284792,6986300
2023-01-31,6.340000,6.530000,6.270000,6.410000,6.354183,7378600
2023-02-01,6.400000,6.500000,6.210000,6.320000,6.264967,6348200
2023-02-02,6.290000,6.770000,6.290000,6.590000,6.532616,13621800
2023-02-03,6.570000,6.570000,5.990000,5.990000,5.937840,13898700
2023-02-06,5.990000,6.020000,5.710000,5.800000,5.749495,8564500
2023-02-07,5.850000,5.870000,5.360000,5.400000,5.352978,11158600
2023-02-08,5.490000,5.660000,5.240000,5.550000,5.501672,11850200
2023-02-09,5.540000,5.750000,5.450000,5.470000,5.422368,6835500
2023-02-10,5.400000,5.630000,5.370000,5.440000,5.392630,6139700
2023-02-13,5.450000,5.660000,5.410000,5.540000,5.491759,4517500
2023-02-14,5.570000,5.650000,5.330000,5.430000,5.382716,8478200
2023-02-15,5.450000,5.660000,5.350000,5.650000,5.600801,6450800
2023-02-16,5.620000,5.720000,5.460000,5.700000,5.650365,3887900
2023-02-17,5.620000,5.630000,5.490000,5.530000,5.481846,4400400
2023-02-22,5.520000,5.520000,5.150000,5.170000,5.124980,4547100
2023-02-23,5.220000,5.330000,5.170000,5.190000,5.144806,4495600
2023-02-24,5.200000,5.300000,5.070000,5.100000,5.055590,4283100
2023-02-27,5.110000,5.230000,4.970000,5.000000,4.956461,7311500
2023-02-28,5.000000,5.080000,4.890000,4.890000,4.847419,6579200
2023-03-01,4.990000,5.020000,4.420000,4.470000,4.431076,12799300
2023-03-02,4.460000,4.700000,4.410000,4.580000,4.540118,8635100
2023-03-03,4.580000,4.810000,4.580000,4.750000,4.708638,9041300
2023-03-06,4.770000,4.890000,4.670000,4.870000,4.827593,8680300
2023-03-07,4.880000,4.980000,4.700000,4.760000,4.718551,7709300
2023-03-08,4.740000,5.340000,4.730000,5.320000,5.273674,16188100
2023-03-09,5.280000,6.010000,5.230000,5.720000,5.670191,21065800
2023-03-10,5.710000,5.860000,5.270000,5.780000,5.729669,15845300
2023-03-13,5.650000,6.310000,5.530000,6.120000,6.066708,17319200
2023-03-14,6.200000,6.270000,5.890000,6.000000,5.947753,6601600
2023-03-15,5.850000,6.130000,5.730000,5.980000,5.927927,5571000
2023-03-16,5.990000,6.800000,5.890000,6.760000,6.701135,13119500
2023-03-17,6.730000,6.840000,6.240000,6.260000,6.205489,7458300
2023-03-20,6.300000,6.390000,5.750000,5.860000,5.808972,6800700
2023-03-21,5.740000,5.920000,5.490000,5.510000,5.462020,7461000
2023-03-22,5.510000,5.780000,5.320000,5.530000,5.481846,6909200
2023-03-23,5.580000,5.630000,5.030000,5.110000,5.065503,8918700
2023-03-24,5.180000,5.200000,4.660000,4.700000,4.659073,22116700
2023-03-27,4.780000,4.800000,4.590000,4.590000,4.550031,11631200
2023-03-28,4.600000,4.900000,4.550000,4.740000,4.698725,17376700
2023-03-29,4.780000,4.810000,4.500000,4.650000,4.609509,15299400
2023-03-30,4.790000,5.160000,4.700000,4.870000,4.827593,20203700
2023-03-31,4.870000,4.940000,4.720000,4.790000,4.748290,7669300
2023-04-03,4.820000,4.930000,4.660000,4.720000,4.678899,9537900
2023-04-04,4.760000,4.840000,4.650000,4.770000,4.728464,6581900
2023-04-05,4.760000,4.850000,4.650000,4.700000,4.659073,7504900
2023-04-06,4.760000,4.790000,4.610000,4.720000,4.678899,6360900
2023-04-10,4.750000,5.010000,4.730000,4.920000,4.877158,7535600
2023-04-11,5.040000,5.270000,5.020000,5.240000,5.194371,9042500
2023-04-12,5.310000,5.550000,5.280000,5.380000,5.333152,9174100
2023-04-13,5.410000,5.440000,5.130000,5.280000,5.234023,7118400
2023-04-14,5.190000,5.430000,5.120000,5.400000,5.352978,6288100
2023-04-17,5.400000,5.770000,5.400000,5.640000,5.590888,8141100
2023-04-18,5.690000,5.750000,5.340000,5.390000,5.343065,8893300
2023-04-19,5.270000,5.300000,5.130000,5.210000,5.164632,7680800
2023-04-20,5.210000,5.290000,5.090000,5.290000,5.243936,8616700
2023-04-24,5.270000,5.520000,5.270000,5.390000,5.343065,7178300
2023-04-25,5.390000,5.390000,5.100000,5.180000,5.134893,5590900
2023-04-26,5.200000,5.220000,4.990000,5.120000,5.075416,5374000
2023-04-27,5.150000,5.430000,5.150000,5.320000,5.273674,6321600
2023-04-28,5.360000,5.360000,5.180000,5.260000,5.214197,5699200
2023-05-02,5.250000,5.330000,5.070000,5.170000,5.124980,4418500
2023-05-03,5.200000,5.540000,5.150000,5.400000,5.352978,9892800
2023-05-04,5.470000,5.670000,5.370000,5.550000,5.501672,10226600
2023-05-05,5.600000,5.840000,5.500000,5.650000,5.600801,9179800
2023-05-08,5.700000,5.980000,5.650000,5.840000,5.789146,9987800
2023-05-09,5.820000,6.170000,5.750000,6.020000,5.967579,7196400
2023-05-10,6.000000,6.460000,5.970000,6.350000,6.350000,11582200
2023-05-11,6.320000,6.370000,6.080000,6.160000,6.160000,10479800
2023-05-12,6.650000,7.070000,6.330000,6.900000,6.900000,20663900
2023-05-15,6.910000,7.310000,6.810000,7.180000,7.180000,11592400
2023-05-16,7.160000,7.210000,6.890000,7.050000,7.050000,12820600
2023-05-17,7.160000,7.170000,6.920000,7.120000,7.120000,13410100
2023-05-18,7.100000,7.550000,7.040000,7.300000,7.300000,9508400
2023-05-19,7.360000,7.730000,7.130000,7.420000,7.420000,12218300
2023-05-22,7.400000,7.580000,7.290000,7.510000,7.510000,6483000
2023-05-23,7.530000,7.740000,7.350000,7.380000,7.380000,8917400
2023-05-24,7.360000,7.430000,7.190000,7.360000,7.360000,6395800
2023-05-25,7.600000,7.940000,7.600000,7.910000,7.910000,7715300
2023-05-26,8.010000,8.260000,7.870000,8.040000,8.040000,6903000
2023-05-29,8.080000,8.150000,7.930000,7.960000,7.960000,2676400
2023-05-30,8.060000,8.170000,7.740000,7.860000,7.860000,5710600
2023-05-31,7.830000,8.080000,7.530000,7.660000,7.660000,12583100
2023-06-01,7.730000,8.610000,7.730000,8.570000,8.570000,14709800
2023-06-02,8.700000,8.880000,8.250000,8.350000,8.350000,9596400
2023-06-05,8.380000,8.480000,8.070000,8.180000,8.180000,5663200
2023-06-06,8.240000,9.050000,8.240000,9.010000,9.010000,9486900
2023-06-07,9.010000,9.220000,8.670000,8.830000,8.830000,8732000
2023-06-09,8.980000,9.140000,8.800000,9.050000,9.050000,7284400
2023-06-12,9.130000,9.190000,8.890000,8.910000,8.910000,4948900
2023-06-13,8.940000,9.000000,8.550000,8.610000,8.610000,3946700
2023-06-14,8.700000,9.320000,8.610000,9.300000,9.300000,11042400
2023-06-15,9.280000,9.580000,9.210000,9.540000,9.540000,6508400
2023-06-16,9.500000,9.630000,9.410000,9.440000,9.440000,4652900
2023-06-19,9.440000,9.480000,9.280000,9.470000,9.470000,2339200
2023-06-20,9.400000,9.520000,9.110000,9.420000,9.420000,3864300
2023-06-21,9.420000,9.500000,8.960000,9.300000,9.300000,5431700
2023-06-22,9.190000,9.190000,8.830000,9.040000,9.040000,4964600
2023-06-23,8.990000,9.480000,8.940000,9.390000,9.390000,5217100
2023-06-26,9.070000,9.080000,8.390000,8.450000,8.450000,11074600
2023-06-27,8.540000,8.640000,8.260000,8.400000,8.400000,6030700
2023-06-28,8.400000,8.600000,8.280000,8.380000,8.380000,3499400
2023-06-29,8.450000,8.660000,8.420000,8.660000,8.660000,2832500
2023-06-30,8.710000,8.830000,8.540000,8.580000,8.580000,4428300
2023-07-03,8.640000,9.020000,8.530000,8.920000,8.920000,3827300
2023-07-04,8.960000,9.140000,8.830000,8.970000,8.970000,3556000
2023-07-05,8.960000,9.210000,8.850000,8.990000,8.990000,3965500
2023-07-06,8.860000,8.870000,8.420000,8.420000,8.420000,7219600
2023-07-07,8.440000,8.720000,8.440000,8.520000,8.520000,5411400
2023-07-10,8.550000,8.700000,8.270000,8.270000,8.270000,4986700
2023-07-11,8.180000,8.180000,7.770000,8.080000,8.080000,6154600
2023-07-12,8.190000,8.310000,7.820000,7.910000,7.910000,5475900
2023-07-13,7.940000,8.150000,7.820000,8.100000,8.100000,3579600
2023-07-14,8.120000,8.150000,7.780000,7.790000,7.790000,4939900
2023-07-17,7.680000,7.760000,7.300000,7.660000,7.660000,12893000
2023-07-18,7.660000,7.720000,7.520000,7.610000,7.610000,5192800
2023-07-19,7.570000,7.600000,7.210000,7.300000,7.300000,5451500
2023-07-20,7.330000,7.340000,6.960000,7.030000,7.030000,8685500
