Date,event,Open,High,Low,Close,Adj Close,Volume,WClose,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2013-10-28,0,6.5,6.5,6.353332996368408,6.403333187103272,5.24271297454834,12658800,,,,,,,,0,0,0
2013-10-29,0,6.400000095367432,6.416666030883789,6.283332824707031,6.309999942779541,5.166296482086182,1794300,,-0.0146830235228575,,,,,,0,0,0
2013-10-30,0,6.266665935516357,6.266665935516357,6.170000076293945,6.170000076293945,5.051671981811523,1532100,,-0.0224368100639358,,,0.0054827550430694,,,-1,0,0
2013-10-31,0,6.116665840148926,6.436666011810303,6.116665840148926,6.393332958221436,5.234525203704834,2972700,,0.0355568696890561,,,0.0314839508505569,,,1,0,0
2013-11-01,0,6.323332786560059,6.656665802001953,6.296666145324707,6.633333206176758,5.43102502822876,539700,,0.0368517437567837,,,0.0317805974856412,,,1,0,0
2013-11-04,0,6.763332843780518,7.093332767486572,6.703332901000977,6.993332862854004,5.725773811340332,1581600,,0.0528498164158009,,,0.0338406718688542,,,1,0,0
2013-11-05,0,6.993332862854004,7.1966657638549805,6.933332920074463,7.166666030883789,5.867689609527588,569100,,0.0244832595770958,0.1126218558519434,,0.0303971368752566,,,1,0,0
2013-11-06,0,7.170000076293945,7.296666145324707,6.949999809265137,6.960000038146973,5.698482036590576,213600,,-0.0292611334327326,0.0980437459420683,,0.0331596515104521,0.0103082803741554,,-1,1,0
2013-11-07,0,6.96999979019165,7.166666030883789,6.96999979019165,7.166666030883789,5.867689609527588,316800,,0.0292611334327326,0.1497416894387366,,0.0313068780163533,0.0266554581522569,,1,1,0
2013-11-08,0,7.166666030883789,7.233333110809326,7.059999942779541,7.179999828338623,5.878607273101807,273900,5.255280833797325,0.0018589121026296,0.11604373185231,,0.0295667782258086,0.021860050643178,,0,1,0
2013-11-11,0,7.153333187103272,7.176665782928467,7.126666069030762,7.176665782928467,5.875876903533936,25800,2.329850404580972,-0.0004645664711351,0.0787274216243912,,0.0281859037581987,0.0261646976558617,,0,1,0
2013-11-12,0,7.133333206176758,7.176665782928467,7.056665897369385,7.150000095367432,5.8540449142456055,696300,2.1003875548934707,-0.0037224484250246,0.0221551567835657,,0.0271255408656754,0.0431775167828034,,-1,1,0
2013-11-13,0,7.156665802001953,7.216666221618652,7.116665840148926,7.216666221618652,5.908627510070801,138600,1.7946235997559488,0.0092807120065208,0.0069526092129907,,0.0258640849659716,0.0518846842163021,,1,1,0
2013-11-14,1,7.216666221618652,7.329999923706055,7.150000095367432,7.329999923706055,6.0014190673828125,333300,1.195513239188304,0.0155823798446355,0.0517961224903589,,0.0248119464471233,0.0493238900883509,,1,1,0
2013-11-18,0,7.363333225250244,7.363333225250244,7.243332862854004,7.28000020980835,5.960481643676758,688200,1.2472437110211485,-0.006844661984621,0.0156903270730052,,0.02427981591244,0.0508064422636995,,-1,1,0
2013-11-19,0,7.276666164398193,7.28000020980835,7.00666618347168,7.25,5.935919284820557,419400,0.9571362019059038,-0.0041293823075603,0.0097020326628154,,0.0236470849204613,0.0518442685380144,,-1,1,0
2013-11-21,0,7.106666088104248,7.216666221618652,7.00666618347168,7.00666618347168,5.736690521240234,588300,0.958708726399088,-0.0341394283914367,-0.0239728292574863,,0.0251865552322696,0.0561905582454282,,-1,-1,0
2013-11-22,0,7.046666145324707,7.096665859222412,6.7733330726623535,6.873332977294922,5.627523899078369,535800,1.038147335712174,-0.0192129391832412,-0.0394633200157029,,0.0251199607308363,0.0605078550537571,,-1,-1,0
2013-11-25,0,6.833333015441895,7.016665935516357,6.813333034515381,6.900000095367432,5.649357318878174,163200,0.9967538770301017,0.003872249190044,-0.0448717828321797,,0.0243700401953053,0.0636087643050505,,1,-1,0
