trimestre,data,prox_reuniao,Daily_Return_Positive,Daily_Return_Neutral,Daily_Return_Negative,Daily_Return_Total,Week_Return_Positive,Week_Return_Neutral,Week_Return_Negative,Week_Return_Total,Month_Return_Positive,Month_Return_Neutral,Month_Return_Negative,Month_Return_Total
1T2017,2017-05-15,2017-08-14,35,8,23,66,38,6,22,66,38,7,21,66
2T2017,2017-08-14,2017-11-09,29,9,26,64,26,4,34,64,33,6,25,64
3T2017,2017-11-09,2018-03-08,37,13,33,83,45,6,32,83,40,10,33,83
4T2017,2018-03-08,2018-05-10,20,5,19,44,20,4,20,44,24,5,15,44
1T2018,2018-05-10,2018-08-09,27,5,32,64,15,4,45,64,17,1,46,64
2T2018,2018-08-09,2018-11-08,38,4,21,63,37,8,18,63,40,2,21,63
3T2018,2018-11-08,2019-03-14,42,8,32,82,42,8,32,82,69,4,9,82
4T2018,2019-03-14,2019-05-09,19,1,19,39,16,5,18,39,13,5,21,39
1T2019,2019-05-09,2019-08-08,37,3,24,64,44,6,14,64,59,3,2,64
2T2019,2019-08-08,2019-11-07,27,10,29,66,40,8,18,66,37,8,21,66
3T2019,2019-11-07,2020-03-12,38,8,37,83,37,9,37,83,49,11,23,83
4T2019,2020-03-12,2020-05-14,17,3,23,43,16,3,24,43,5,2,36,43
1T2020,2020-05-14,2020-08-13,28,5,32,65,33,6,26,65,33,9,23,65
2T2020,2020-08-13,2020-11-16,32,8,25,65,37,7,21,65,41,8,16,65
3T2020,2020-11-16,2021-03-04,34,8,29,71,39,6,26,71,51,5,15,71
4T2020,2021-03-04,2021-05-06,16,9,19,44,20,3,21,44,10,6,28,44
1T2021,2021-05-06,2021-08-12,24,14,31,69,25,6,38,69,32,7,30,69
2T2021,2021-08-12,2021-11-11,23,5,35,63,18,3,42,63,4,10,49,63
3T2021,2021-11-11,2022-02-24,31,8,34,73,37,6,30,73,28,11,34,73
4T2021,2022-02-24,2022-05-09,19,3,27,49,15,4,30,49,14,2,33,49
1T2022,2022-05-09,2022-08-11,23,8,37,68,18,6,44,68,6,1,61,68
2T2022,2022-08-11,2022-11-11,29,5,30,64,33,3,28,64,32,9,23,64
3T2022,2022-11-11,2023-03-06,31,7,40,78,22,3,53,78,22,1,55,78
4T2022,2023-03-06,,28,7,29,64,44,2,18,64,41,2,21,64
