trimestre,data,prox_reuniao,Daily_Return_Positive,Daily_Return_Neutral,Daily_Return_Negative,Daily_Return_Total,Week_Return_Positive,Week_Return_Neutral,Week_Return_Negative,Week_Return_Total,Month_Return_Positive,Month_Return_Neutral,Month_Return_Negative,Month_Return_Total
1T2010,2010-05-14,2010-08-17,33,1,32,66,42,5,19,66,40,3,23,66
2T2010,2010-08-17,2010-11-17,28,7,28,63,34,6,23,63,42,2,19,63
3T2010,2010-11-17,2011-02-18,26,7,32,65,22,4,39,65,12,5,48,65
4T2010,2011-02-18,2011-05-11,21,11,23,55,24,3,28,55,18,10,27,55
1T2011,2011-05-11,2011-08-10,26,6,33,65,22,5,38,65,7,10,48,65
2T2011,2011-08-10,2011-11-04,30,4,26,60,31,6,23,60,25,4,31,60
3T2011,2011-11-04,2012-02-15,34,6,31,71,36,3,32,71,43,3,25,71
4T2011,2012-02-15,2012-05-04,22,2,29,53,17,2,34,53,25,1,27,53
1T2012,2012-05-04,2012-08-15,32,6,34,72,34,3,35,72,23,2,47,72
2T2012,2012-08-15,2012-11-09,24,6,30,60,24,5,31,60,37,0,23,60
3T2012,2012-11-09,2013-02-22,31,8,28,67,41,4,22,67,36,4,27,67
4T2012,2013-02-22,2013-05-16,27,8,23,58,31,7,20,58,35,4,19,58
1T2013,2013-05-16,2013-08-14,32,6,25,63,28,1,34,63,23,5,35,63
2T2013,2013-08-14,2013-11-13,35,6,25,66,51,5,10,66,57,6,3,66
3T2013,2013-11-13,2014-02-14,25,4,33,62,16,3,43,62,1,4,57,62
4T2013,2014-02-14,2014-05-08,25,4,26,55,29,6,20,55,35,1,19,55
1T2014,2014-05-08,2014-08-15,37,5,27,69,31,7,31,69,52,4,13,69
2T2014,2014-08-15,2014-11-06,28,2,30,60,33,1,26,60,33,2,25,60
3T2014,2014-11-06,2015-02-12,30,1,35,66,24,3,39,66,10,6,50,66
4T2014,2015-02-12,2015-05-15,29,7,26,62,36,3,23,62,48,4,10,62
1T2015,2015-05-15,2015-08-14,23,5,36,64,21,5,38,64,16,3,45,64
2T2015,2015-08-14,2015-11-13,25,6,32,63,22,3,38,63,17,1,45,63
3T2015,2015-11-13,2016-02-26,26,5,37,68,21,3,44,68,21,8,39,68
4T2015,2016-02-26,2016-05-13,27,2,25,54,28,2,24,54,48,1,5,54
1T2016,2016-05-13,2016-08-12,32,5,28,65,33,4,28,65,29,6,30,65
2T2016,2016-08-12,2016-11-11,36,2,25,63,39,3,21,63,52,4,7,63
3T2016,2016-11-11,2017-02-17,37,7,24,68,39,4,25,68,43,7,18,68
4T2016,2017-02-17,2017-05-12,29,5,22,56,27,8,21,56,26,7,23,56
1T2017,2017-05-12,2017-08-11,33,9,24,66,36,4,26,66,27,2,37,66
2T2017,2017-08-11,2017-11-10,24,13,29,66,36,5,25,66,57,0,9,66
3T2017,2017-11-10,2018-02-23,35,13,25,73,49,5,19,73,38,4,31,73
4T2017,2018-02-23,2018-05-11,20,7,27,54,17,3,34,54,20,1,33,54
1T2018,2018-05-11,2018-08-10,30,2,32,64,32,5,27,64,27,1,36,64
2T2018,2018-08-10,2018-11-18,34,3,30,67,33,3,31,67,38,4,25,67
3T2018,2018-11-18,2019-02-15,30,9,20,59,33,13,13,59,56,3,0,59
4T2018,2019-02-15,2019-05-08,27,5,23,55,25,7,23,55,28,3,24,55
1T2019,2019-05-08,2019-08-09,24,15,27,66,30,10,26,66,40,7,19,66
2T2019,2019-08-09,2019-11-08,28,4,34,66,24,10,32,66,30,4,32,66
3T2019,2019-11-08,2020-02-14,28,5,32,65,32,9,24,65,42,8,15,65
4T2019,2020-02-14,2020-05-15,23,5,33,61,14,4,43,61,7,9,45,61
1T2020,2020-05-15,2020-08-14,33,2,30,65,35,3,27,65,46,7,12,65
2T2020,2020-08-14,2020-11-06,24,7,27,58,19,7,32,58,12,6,40,58
3T2020,2020-11-06,2021-02-15,31,3,31,65,32,10,23,65,44,1,20,65
4T2020,2021-02-15,2021-05-10,24,8,25,57,24,7,26,57,11,10,36,57
1T2021,2021-05-10,2021-08-12,29,5,33,67,31,6,30,67,34,7,26,67
2T2021,2021-08-12,2021-11-09,26,9,26,61,27,8,26,61,14,11,36,61
3T2021,2021-11-09,2022-02-15,30,14,24,68,37,8,23,68,41,1,26,68
4T2021,2022-02-15,2022-05-12,30,9,20,59,28,8,23,59,38,13,8,59
1T2022,2022-05-12,2022-08-16,31,9,28,68,37,6,25,68,37,7,24,68
2T2022,2022-08-16,2022-11-09,28,3,28,59,22,9,28,59,25,9,25,59
3T2022,2022-11-09,2023-02-14,32,9,27,68,37,5,26,68,29,7,32,68
4T2022,2023-02-14,,27,9,23,59,31,6,22,59,36,5,18,59
