trimestre,data,prox_reuniao,Daily_Return_Positive,Daily_Return_Neutral,Daily_Return_Negative,Daily_Return_Total,Week_Return_Positive,Week_Return_Neutral,Week_Return_Negative,Week_Return_Total,Month_Return_Positive,Month_Return_Neutral,Month_Return_Negative,Month_Return_Total
1T2012,2012-05-15,2012-08-14,27,10,27,64,32,4,28,64,24,3,37,64
2T2012,2012-08-14,2012-11-13,26,5,32,63,32,8,23,63,41,3,19,63
3T2012,2012-11-13,2013-03-27,31,7,50,88,28,8,52,88,24,6,58,88
4T2012,2013-03-27,2013-05-14,12,5,16,33,9,2,22,33,0,0,33,33
1T2013,2013-05-14,2013-08-07,22,3,35,60,18,2,40,60,17,3,40,60
2T2013,2013-08-07,2013-11-01,31,10,22,63,41,8,14,63,55,3,5,63
3T2013,2013-11-01,2014-02-24,34,2,40,76,25,10,41,76,25,5,46,76
4T2013,2014-02-24,2014-05-08,23,9,17,49,27,2,20,49,22,1,26,49
1T2014,2014-05-08,2014-08-01,25,7,27,59,30,7,22,59,45,8,6,59
2T2014,2014-08-01,2014-10-31,29,5,32,66,20,11,35,66,10,9,47,66
3T2014,2014-10-31,2015-02-27,36,5,38,79,24,7,48,79,17,3,59,79
4T2014,2015-02-27,2015-05-08,19,4,25,48,14,10,24,48,11,6,31,48
1T2015,2015-05-08,2015-07-31,14,4,41,59,7,1,51,59,1,2,56,59
2T2015,2015-07-31,2015-11-11,24,2,45,71,11,3,57,71,9,3,59,71
3T2015,2015-11-11,2016-03-01,37,4,31,72,36,6,30,72,38,0,34,72
4T2015,2016-03-01,2016-05-06,23,6,18,47,33,5,9,47,41,3,3,47
1T2016,2016-05-06,2016-08-04,33,13,18,64,43,12,9,64,58,6,0,64
2T2016,2016-08-04,2016-10-31,37,10,14,61,45,4,12,61,58,3,0,61
3T2016,2016-10-31,2017-02-20,41,11,25,77,54,9,14,77,61,10,6,77
4T2016,2017-02-20,2017-05-05,27,6,17,50,31,5,14,50,38,4,8,50
1T2017,2017-05-05,2017-08-01,34,10,19,63,42,4,17,63,47,3,13,63
2T2017,2017-08-01,2017-11-01,35,5,27,67,40,2,25,67,48,3,16,67
3T2017,2017-11-01,2018-02-23,33,18,29,80,40,10,30,80,49,4,27,80
4T2017,2018-02-23,2018-05-08,25,3,23,51,31,6,14,51,48,3,0,51
1T2018,2018-05-08,2018-08-08,31,6,28,65,43,9,13,65,59,4,2,65
2T2018,2018-08-08,2018-11-06,28,6,28,62,32,5,25,62,34,6,22,62
3T2018,2018-11-06,2019-02-22,29,12,31,72,35,6,31,72,34,11,27,72
4T2018,2019-02-22,2019-05-07,23,8,18,49,27,4,18,49,24,7,18,49
1T2019,2019-05-07,2019-08-13,37,9,23,69,52,7,10,69,65,3,1,69
2T2019,2019-08-13,2019-10-30,28,5,24,57,36,6,15,57,42,6,9,57
3T2019,2019-10-30,2020-02-17,35,8,30,73,42,15,16,73,65,7,1,73
4T2019,2020-02-17,2020-05-26,33,3,31,67,39,2,26,67,33,2,32,67
1T2020,2020-05-26,2020-08-18,30,9,21,60,40,4,16,60,56,4,0,60
2T2020,2020-08-18,2020-11-10,25,7,26,58,33,8,17,58,47,5,6,58
3T2020,2020-11-10,2021-03-25,38,8,44,90,34,7,49,90,31,17,42,90
4T2020,2021-03-25,2021-05-14,12,8,15,35,8,5,22,35,2,5,28,35
1T2021,2021-05-14,2021-08-13,28,8,28,64,31,11,22,64,35,8,21,64
2T2021,2021-08-13,2021-11-10,20,4,37,61,12,8,41,61,0,0,61,61
3T2021,2021-11-10,2022-03-15,35,7,43,85,29,6,50,85,14,10,61,85
4T2021,2022-03-15,2022-05-17,15,2,27,44,12,3,29,44,17,1,26,44
1T2022,2022-05-17,2022-08-17,26,6,34,66,28,5,33,66,25,0,41,66
2T2022,2022-08-17,2022-11-11,27,4,29,60,35,3,22,60,39,4,17,60
3T2022,2022-11-11,2023-03-10,36,5,41,82,27,6,49,82,27,2,53,82
4T2022,2023-03-10,,32,5,25,62,35,2,25,62,28,7,27,62
